Program name	H0206AD_E4_CP1.dll
Lot number	C127251.00-CPTSTE11-241023-002348@CP
Wafer number	01
Date	2024/10/23
Time	00:23:52

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH1	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
82	25	10	1	1.27000E-002	2.40000E-003	1.90000E-003	4.96000E-008	5.00000E-010	3.84400E-007	3.37860E+000	7.45152E+002	7.46616E+002	1.46350E+000	1.27281E-001	6.89000E-001	9.41400E-010	4.45000E-011	1.92000E-007
86	23	10	1	1.28000E-002	2.40000E-003	2.00000E-003	6.34000E-008	7.00000E-010	4.52400E-007	3.38070E+000	7.47400E+002	7.49761E+002	2.36110E+000	1.29337E-001	6.89700E-001	7.00200E-010	2.30000E-012	2.19900E-007
90	21	10	1	1.28000E-002	2.40000E-003	1.90000E-003	7.37000E-008	7.00000E-010	4.55600E-007	3.37620E+000	7.45217E+002	7.46994E+002	1.77700E+000	1.29248E-001	6.89800E-001	6.46400E-010	8.66000E-011	2.18300E-007
94	19	10	1	1.28000E-002	2.40000E-003	1.90000E-003	8.22000E-008	5.00000E-010	3.37800E-007	3.37670E+000	7.42540E+002	7.44632E+002	2.09180E+000	1.27252E-001	6.89200E-001	5.15200E-010	1.54600E-010	1.66800E-007
98	17	10	1	1.28000E-002	2.40000E-003	1.90000E-003	8.60000E-008	1.00000E-010	3.02900E-007	3.39080E+000	7.40710E+002	7.42749E+002	2.03960E+000	1.26608E-001	6.89500E-001	6.48700E-010	3.25500E-010	1.51900E-007
102	15	10	1	1.28000E-002	2.40000E-003	1.90000E-003	8.01000E-008	7.00000E-010	3.05200E-007	3.39150E+000	7.41587E+002	7.43643E+002	2.05550E+000	1.27703E-001	6.89500E-001	7.63400E-010	2.10800E-010	1.53500E-007
106	13	10	1	1.28000E-002	2.40000E-003	1.90000E-003	7.14000E-008	7.00000E-010	4.15600E-007	3.36850E+000	7.43640E+002	7.45892E+002	2.25220E+000	1.28949E-001	6.89600E-001	9.69500E-010	1.00700E-010	1.99200E-007
110	11	10	1	1.27000E-002	2.40000E-003	1.90000E-003	6.13000E-008	6.00000E-010	4.47600E-007	3.35660E+000	7.45735E+002	7.47959E+002	2.22420E+000	1.29370E-001	6.89800E-001	7.70500E-010	2.38900E-010	2.15200E-007
114	9	10	1	1.27000E-002	2.40000E-003	1.90000E-003	5.00000E-008	7.00000E-010	4.46100E-007	3.36790E+000	7.43382E+002	7.45571E+002	2.18840E+000	1.28336E-001	6.89600E-001	6.34600E-010	3.04000E-011	2.16600E-007
118	7	10	1	1.28000E-002	2.40000E-003	1.90000E-003	2.84000E-008	6.00000E-010	3.91700E-007	3.37750E+000	7.31648E+002	7.33180E+002	1.53190E+000	1.26095E-001	6.88300E-001	7.82200E-010	3.63000E-010	1.88600E-007
122	6	12	1	1.28000E-002	2.50000E-003	1.90000E-003	2.59000E-008	5.00000E-010	3.79900E-007	3.40530E+000	7.32501E+002	7.33853E+002	1.35140E+000	1.25622E-001	6.88300E-001	7.72800E-010	3.75000E-011	1.83800E-007
126	8	12	1	1.27000E-002	2.40000E-003	1.90000E-003	5.12000E-008	8.00000E-010	4.21400E-007	3.36810E+000	7.46161E+002	7.47571E+002	1.41000E+000	1.28720E-001	6.89400E-001	7.91500E-010	5.62000E-011	2.07500E-007
130	10	12	1	1.28000E-002	2.40000E-003	1.90000E-003	6.34000E-008	8.00000E-010	4.82600E-007	3.34070E+000	7.47114E+002	7.49069E+002	1.95500E+000	1.28811E-001	6.90100E-001	5.57400E-010	1.92000E-010	2.32500E-007
134	12	12	1	1.28000E-002	2.30000E-003	1.90000E-003	7.35000E-008	7.00000E-010	4.03600E-007	3.35520E+000	7.42535E+002	7.44494E+002	1.95930E+000	1.27909E-001	6.89500E-001	5.38600E-010	3.02100E-010	1.96300E-007
138	14	12	1	1.28000E-002	2.30000E-003	1.90000E-003	7.72000E-008	5.00000E-010	2.22700E-007	3.37510E+000	7.36697E+002	7.38632E+002	1.93460E+000	1.23541E-001	6.90400E-001	8.19700E-010	5.39000E-011	1.15900E-007
142	16	12	1	1.28000E-002	2.40000E-003	1.90000E-003	8.66000E-008	7.00000E-010	2.55400E-007	3.35450E+000	7.30479E+002	7.32291E+002	1.81200E+000	1.23449E-001	6.89700E-001	7.82200E-010	5.85000E-011	1.29200E-007
146	18	12	1	1.28000E-002	2.40000E-003	1.90000E-003	8.21000E-008	6.00000E-010	2.34200E-007	3.36590E+000	7.33095E+002	7.34798E+002	1.70330E+000	1.22400E-001	6.89500E-001	6.20600E-010	3.98000E-011	1.20200E-007
150	20	12	1	1.28000E-002	2.50000E-003	1.90000E-003	8.17000E-008	6.00000E-010	2.76000E-007	3.38170E+000	7.38171E+002	7.39783E+002	1.61230E+000	1.24599E-001	6.89700E-001	7.56400E-010	2.67000E-010	1.39700E-007
154	22	12	1	1.28000E-002	2.50000E-003	1.90000E-003	7.61000E-008	0.00000E+000	4.20100E-007	3.36630E+000	7.45990E+002	7.47539E+002	1.54860E+000	1.28234E-001	6.89900E-001	8.22000E-010	2.11000E-011	2.04400E-007
158	24	12	1	1.29000E-002	2.40000E-003	1.90000E-003	6.51000E-008	8.00000E-010	4.97200E-007	3.36850E+000	7.47264E+002	7.48818E+002	1.55410E+000	1.29545E-001	6.90000E-001	7.02600E-010	1.56900E-010	2.38000E-007
162	26	12	1	1.27000E-002	2.40000E-003	1.90000E-003	4.90000E-008	2.00000E-010	3.99000E-007	3.38230E+000	7.46183E+002	7.47886E+002	1.70290E+000	1.27563E-001	6.89300E-001	7.70500E-010	2.64600E-010	1.99400E-007
166	28	12	1	1.27000E-002	2.30000E-003	1.90000E-003	2.16000E-008	5.00000E-010	3.53600E-007	3.43870E+000	7.28899E+002	7.30325E+002	1.42600E+000	1.26561E-001	6.88500E-001	8.00900E-010	3.98000E-011	1.70500E-007
170	28	14	1	1.28000E-002	2.30000E-003	1.90000E-003	2.72000E-008	7.00000E-010	3.75900E-007	3.42100E+000	7.30264E+002	7.31595E+002	1.33090E+000	1.25363E-001	6.87900E-001	7.63400E-010	4.92000E-011	1.81900E-007
174	26	14	1	1.28000E-002	2.30000E-003	1.90000E-003	5.15000E-008	8.00000E-010	4.30000E-007	3.37530E+000	7.48252E+002	7.49946E+002	1.69460E+000	1.28462E-001	6.89900E-001	6.41700E-010	2.59900E-010	2.13100E-007
178	24	14	1	1.28000E-002	2.30000E-003	1.90000E-003	6.72000E-008	2.00000E-010	4.87100E-007	3.37830E+000	7.46967E+002	7.48938E+002	1.97030E+000	1.29858E-001	6.90900E-001	7.86900E-010	2.30000E-012	2.32800E-007
182	22	14	1	1.28000E-002	2.40000E-003	1.90000E-003	7.79000E-008	6.00000E-010	4.46100E-007	3.37590E+000	7.43452E+002	7.44889E+002	1.43670E+000	1.27012E-001	6.90000E-001	6.83800E-010	1.00700E-010	2.14400E-007
186	20	14	1	1.27000E-002	2.50000E-003	1.90000E-003	8.10000E-008	4.00000E-010	2.40100E-007	3.35260E+000	7.33511E+002	7.34928E+002	1.41690E+000	1.22799E-001	6.89700E-001	6.76800E-010	1.64000E-011	1.22200E-007
190	18	14	1	1.28000E-002	2.40000E-003	1.90000E-003	8.40000E-008	8.00000E-010	2.72400E-007	3.36360E+000	7.20074E+002	7.21665E+002	1.59080E+000	1.23430E-001	6.90100E-001	5.19900E-010	2.97400E-010	1.28600E-007
194	16	14	1	1.28000E-002	2.40000E-003	1.90000E-003	7.97000E-008	6.00000E-010	2.64700E-007	3.35460E+000	7.23145E+002	7.25562E+002	2.41730E+000	1.22452E-001	6.89500E-001	7.98600E-010	5.62000E-011	1.28600E-007
198	14	14	1	1.28000E-002	2.40000E-003	1.90000E-003	8.25000E-008	7.00000E-010	2.53000E-007	3.35820E+000	7.29790E+002	7.31233E+002	1.44250E+000	1.23185E-001	6.89900E-001	5.87800E-010	3.04000E-011	1.26700E-007
202	12	14	1	1.28000E-002	2.50000E-003	1.90000E-003	7.92000E-008	3.00000E-010	3.89300E-007	3.36740E+000	7.40709E+002	7.42246E+002	1.53680E+000	1.26196E-001	6.89100E-001	5.03500E-010	2.15500E-010	1.89300E-007
206	10	14	1	1.28000E-002	2.40000E-003	1.90000E-003	6.91000E-008	8.00000E-010	4.78600E-007	3.35960E+000	7.44762E+002	7.46249E+002	1.48650E+000	1.29271E-001	6.90100E-001	8.61800E-010	2.90400E-010	2.26300E-007
210	8	14	1	1.28000E-002	2.50000E-003	1.90000E-003	5.61000E-008	6.00000E-010	4.09300E-007	3.35790E+000	7.46148E+002	7.47773E+002	1.62520E+000	1.29444E-001	6.89100E-001	9.41400E-010	2.43600E-010	2.00800E-007
214	6	14	1	1.28000E-002	2.50000E-003	1.90000E-003	3.20000E-008	4.00000E-010	2.93800E-007	3.42420E+000	7.33358E+002	7.34705E+002	1.34700E+000	1.24929E-001	6.89400E-001	4.70700E-010	3.06800E-010	1.47300E-007
218	7	16	1	1.28000E-002	2.50000E-003	1.90000E-003	4.73000E-008	6.00000E-010	2.71200E-007	3.40350E+000	7.38961E+002	7.40502E+002	1.54070E+000	1.25776E-001	6.89500E-001	5.26900E-010	3.23200E-010	1.37100E-007
222	9	16	1	1.28000E-002	2.50000E-003	1.90000E-003	6.06000E-008	5.00000E-010	4.38300E-007	3.34800E+000	7.44963E+002	7.46415E+002	1.45270E+000	1.29557E-001	6.89700E-001	8.47800E-010	1.42900E-010	2.09100E-007
226	11	16	1	1.27000E-002	2.40000E-003	1.90000E-003	7.09000E-008	6.00000E-010	4.56900E-007	3.36310E+000	7.44218E+002	7.45780E+002	1.56260E+000	1.28724E-001	6.90100E-001	9.04000E-010	3.28000E-011	2.17100E-007
230	13	16	1	1.28000E-002	2.50000E-003	1.90000E-003	8.03000E-008	2.00000E-010	4.12000E-007	3.35480E+000	7.39489E+002	7.41151E+002	1.66170E+000	1.26096E-001	6.88900E-001	8.57100E-010	1.75600E-010	1.99000E-007
234	15	16	1	1.28000E-002	2.50000E-003	1.90000E-003	8.36000E-008	8.00000E-010	2.85900E-007	3.35290E+000	7.30191E+002	7.31664E+002	1.47290E+000	1.23203E-001	6.89700E-001	5.92500E-010	1.54600E-010	1.34700E-007
238	17	16	1	1.28000E-002	2.60000E-003	1.90000E-003	8.31000E-008	7.00000E-010	2.62300E-007	3.35840E+000	7.26788E+002	7.28824E+002	2.03530E+000	1.24004E-001	6.90100E-001	7.58800E-010	4.05100E-010	1.28800E-007
242	19	16	1	1.28000E-002	2.50000E-003	1.90000E-003	8.30000E-008	7.00000E-010	3.01000E-007	3.34410E+000	7.30044E+002	7.32187E+002	2.14340E+000	1.23375E-001	6.89000E-001	9.18000E-010	1.26500E-010	1.46100E-007
246	21	16	1	1.28000E-002	2.50000E-003	1.90000E-003	7.80000E-008	7.00000E-010	4.80700E-007	3.37140E+000	7.41357E+002	7.42816E+002	1.45880E+000	1.26199E-001	6.89700E-001	7.40000E-010	1.00700E-010	2.30300E-007
250	23	16	1	1.28000E-002	2.50000E-003	1.90000E-003	6.93000E-008	4.00000E-010	5.04400E-007	3.37640E+000	7.45842E+002	7.47315E+002	1.47230E+000	1.29249E-001	6.90500E-001	8.24300E-010	1.64000E-011	2.39700E-007
254	25	16	1	1.28000E-002	2.50000E-003	1.90000E-003	5.64000E-008	8.00000E-010	4.69800E-007	3.37150E+000	7.47230E+002	7.48661E+002	1.43100E+000	1.29537E-001	6.91100E-001	6.95500E-010	2.92700E-010	2.25300E-007
258	27	16	1	1.27000E-002	2.50000E-003	1.90000E-003	5.11000E-008	3.00000E-010	4.12500E-007	3.36560E+000	7.34162E+002	7.36012E+002	1.85000E+000	1.25451E-001	6.88100E-001	4.37900E-010	5.15000E-011	2.00100E-007
262	26	18	1	1.28000E-002	2.40000E-003	1.90000E-003	4.53000E-008	3.00000E-010	3.19800E-007	3.39470E+000	7.34548E+002	7.36178E+002	1.63020E+000	1.24373E-001	6.88700E-001	7.65800E-010	2.48200E-010	1.60100E-007
266	24	18	1	1.27000E-002	2.40000E-003	1.90000E-003	5.36000E-008	7.00000E-010	4.13900E-007	3.36540E+000	7.48102E+002	7.49717E+002	1.61460E+000	1.28869E-001	6.89600E-001	7.93900E-010	1.49900E-010	2.04200E-007
270	22	18	1	1.28000E-002	2.40000E-003	1.90000E-003	6.56000E-008	5.00000E-010	4.54200E-007	3.35770E+000	7.45948E+002	7.48235E+002	2.28660E+000	1.29187E-001	6.90000E-001	7.54100E-010	1.03000E-010	2.18400E-007
274	20	18	1	1.28000E-002	2.40000E-003	1.90000E-003	7.59000E-008	6.00000E-010	4.58800E-007	3.36160E+000	7.42540E+002	7.44830E+002	2.29010E+000	1.28267E-001	6.89500E-001	8.75900E-010	5.62000E-011	2.19200E-007
278	18	18	1	1.28000E-002	2.40000E-003	1.90000E-003	7.99000E-008	4.00000E-010	4.30000E-007	3.35520E+000	7.41672E+002	7.43857E+002	2.18470E+000	1.26381E-001	6.89300E-001	5.41000E-010	1.31100E-010	2.07300E-007
282	16	18	1	1.29000E-002	2.40000E-003	1.90000E-003	8.08000E-008	7.00000E-010	4.02100E-007	3.35420E+000	7.39138E+002	7.41509E+002	2.37070E+000	1.26722E-001	6.89200E-001	5.87800E-010	7.96000E-011	1.93800E-007
286	14	18	1	1.27000E-002	2.40000E-003	1.90000E-003	7.82000E-008	5.00000E-010	4.09900E-007	3.34650E+000	7.42968E+002	7.45110E+002	2.14190E+000	1.28014E-001	6.89000E-001	4.56700E-010	6.09000E-011	1.99300E-007
290	12	18	1	1.27000E-002	2.40000E-003	1.90000E-003	7.05000E-008	7.00000E-010	3.95200E-007	3.35400E+000	7.44805E+002	7.46774E+002	1.96880E+000	1.29077E-001	6.89100E-001	6.76800E-010	1.94400E-010	1.92200E-007
294	10	18	1	1.28000E-002	2.40000E-003	1.90000E-003	6.08000E-008	2.00000E-010	3.00900E-007	3.38250E+000	7.46331E+002	7.48643E+002	2.31180E+000	1.28868E-001	6.89200E-001	9.18000E-010	1.94400E-010	1.53000E-007
298	8	18	1	1.28000E-002	2.40000E-003	1.90000E-003	4.89000E-008	7.00000E-010	2.06900E-007	3.41790E+000	7.40310E+002	7.42112E+002	1.80200E+000	1.25485E-001	6.90700E-001	8.05600E-010	1.21800E-010	1.12400E-007
302	9	20	7	1.30000E-002	2.40000E-003	1.80000E-003	4.00000E-008	7.00000E-010	2.60600E-007	3.42930E+000	8.64520E+001
304	11	20	1	1.28000E-002	2.40000E-003	1.90000E-003	5.77000E-008	5.00000E-010	2.38900E-007	3.39500E+000	7.46354E+002	7.48261E+002	1.90640E+000	1.27001E-001	6.90000E-001	9.50800E-010	7.96000E-011	1.27200E-007
308	13	20	1	1.29000E-002	2.50000E-003	2.00000E-003	6.36000E-008	9.00000E-010	3.47300E-007	3.35890E+000	7.44129E+002	7.46531E+002	2.40230E+000	1.28864E-001	6.89500E-001	7.44700E-010	4.22000E-011	1.70800E-007
312	15	20	1	1.27000E-002	2.40000E-003	1.90000E-003	6.66000E-008	9.00000E-010	4.53500E-007	3.34160E+000	7.44702E+002	7.47105E+002	2.40330E+000	1.29118E-001	6.89400E-001	6.53400E-010	3.75000E-011	2.18200E-007
316	17	20	1	1.28000E-002	2.40000E-003	1.90000E-003	6.96000E-008	7.00000E-010	4.72600E-007	3.33790E+000	7.43991E+002	7.46259E+002	2.26870E+000	1.28658E-001	6.89900E-001	5.38600E-010	1.71000E-010	2.23700E-007
320	19	20	1	1.27000E-002	2.40000E-003	1.90000E-003	6.52000E-008	7.00000E-010	4.80400E-007	3.34000E+000	7.43490E+002	7.45881E+002	2.39070E+000	1.29496E-001	6.89600E-001	6.11200E-010	1.31100E-010	2.28000E-007
324	21	20	1	1.29000E-002	2.40000E-003	1.90000E-003	5.89000E-008	6.00000E-010	4.07400E-007	3.35860E+000	7.45241E+002	7.47398E+002	2.15760E+000	1.29149E-001	6.90000E-001	9.20400E-010	2.20100E-010	1.96300E-007
328	23	20	1	1.27000E-002	2.50000E-003	1.90000E-003	4.99000E-008	8.00000E-010	2.89900E-007	3.40080E+000	7.43555E+002	7.45265E+002	1.71050E+000	1.26693E-001	6.89500E-001	6.62700E-010	7.00000E-012	1.50100E-007
332	25	20	1	1.30000E-002	2.40000E-003	1.80000E-003	3.18000E-008	8.00000E-010	2.88900E-007	3.44880E+000	7.29113E+002	7.31208E+002	2.09460E+000	1.24735E-001	6.89200E-001	5.83100E-010	2.64600E-010	1.50900E-007
334	21	22	1	1.30000E-002	2.40000E-003	1.80000E-003	4.21000E-008	6.00000E-010	2.83600E-007	3.43860E+000	7.29918E+002	7.32182E+002	2.26400E+000	1.24457E-001	6.90200E-001	7.93900E-010	1.07700E-010	1.41100E-007
336	19	22	1	1.30000E-002	2.40000E-003	1.90000E-003	5.14000E-008	8.00000E-010	2.57200E-007	3.42640E+000	7.37069E+002	7.38605E+002	1.53570E+000	1.24958E-001	6.90100E-001	8.75900E-010	5.85000E-011	1.37000E-007
339	17	22	1	1.27000E-002	2.40000E-003	1.90000E-003	5.36000E-008	6.00000E-010	2.48700E-007	3.41570E+000	7.40122E+002	7.41509E+002	1.38690E+000	1.26666E-001	6.91100E-001	9.36700E-010	1.42900E-010	1.29200E-007
343	15	22	1	1.27000E-002	2.40000E-003	1.80000E-003	5.33000E-008	9.00000E-010	2.42100E-007	3.42830E+000	7.38076E+002	7.39626E+002	1.55010E+000	1.25044E-001	6.90200E-001	8.36000E-010	1.56900E-010	1.27500E-007
346	13	22	7	1.30000E-002	2.30000E-003	1.80000E-003	4.57000E-008	1.00000E-009	2.75900E-006	3.46160E+000	4.19635E+002

1	13	5	1	1.03000E-002	-4.00000E-004	-8.00000E-004	1.59000E-008	3.00000E-010	3.79100E-007	3.45140E+000	7.19614E+002	7.22568E+002	2.95450E+000	1.28847E-001	6.91500E-001	1.85000E-010	6.64900E-010	1.72700E-007
3	15	5	1	1.02000E-002	-4.00000E-004	-8.00000E-004	2.51000E-008	1.00000E-010	3.30600E-007	3.44570E+000	7.27283E+002	7.29582E+002	2.29830E+000	1.26527E-001	6.91200E-001	7.73000E-011	2.64600E-010	1.64800E-007
5	17	5	1	1.02000E-002	-4.00000E-004	-8.00000E-004	3.00000E-008	1.00000E-010	3.34400E-007	3.44910E+000	7.27250E+002	7.29563E+002	2.31390E+000	1.26411E-001	6.90800E-001	3.27800E-010	4.77600E-010	1.66300E-007
7	19	5	1	1.01000E-002	-4.00000E-004	-8.00000E-004	2.51000E-008	2.00000E-010	1.40070E-006	3.46070E+000	7.26548E+002	7.28911E+002	2.36230E+000	1.26878E-001	6.89700E-001	3.60600E-010	5.59600E-010	6.55800E-007
10	23	7	1	1.24000E-002	-4.00000E-004	-8.00000E-004	4.24000E-008	4.00000E-010	3.29200E-007	3.44310E+000	7.31513E+002	7.33723E+002	2.20970E+000	1.24763E-001	6.91000E-001	5.85000E-011	2.81000E-011	1.62500E-007
14	21	7	1	1.29000E-002	-2.00000E-004	-8.00000E-004	5.35000E-008	6.00000E-010	1.10690E-006	3.40720E+000	7.44164E+002	7.45697E+002	1.53360E+000	1.27083E-001	6.91500E-001	1.21700E-010	2.27100E-010	4.47200E-007
18	19	7	1	1.28000E-002	-3.00000E-004	-7.00000E-004	6.40000E-008	5.00000E-010	3.83300E-007	3.39380E+000	7.43207E+002	7.45761E+002	2.55340E+000	1.29791E-001	6.91600E-001	1.70900E-010	2.08400E-010	1.88700E-007
22	17	7	1	1.27000E-002	-4.00000E-004	-7.00000E-004	6.78000E-008	1.00000E-010	3.82000E-007	3.40240E+000	7.40679E+002	7.43102E+002	2.42300E+000	1.29040E-001	6.92700E-001	1.35800E-010	1.82600E-010	1.81900E-007
26	15	7	1	1.28000E-002	-3.00000E-004	-7.00000E-004	6.06000E-008	3.00000E-010	3.82900E-007	3.39840E+000	7.42835E+002	7.45258E+002	2.42380E+000	1.29117E-001	6.91500E-001	1.12400E-010	2.34000E-011	1.87100E-007
30	13	7	1	1.28000E-002	-3.00000E-004	-7.00000E-004	5.52000E-008	5.00000E-010	3.38800E-007	3.41180E+000	7.41799E+002	7.44116E+002	2.31720E+000	1.27576E-001	6.91600E-001	2.66900E-010	1.17100E-010	1.69600E-007
34	11	7	1	1.28000E-002	-3.00000E-004	-7.00000E-004	4.44000E-008	2.00000E-010	3.00800E-007	3.42600E+000	7.33160E+002	7.35422E+002	2.26220E+000	1.25831E-001	6.91800E-001	3.75000E-011	2.64600E-010	1.51500E-007
37	9	7	1	1.33000E-002	-3.00000E-004	-8.00000E-004	1.57000E-008	3.00000E-010	3.59500E-007	3.45940E+000	7.25306E+002	7.27194E+002	1.88810E+000	1.27063E-001	6.91300E-001	6.79000E-011	4.02700E-010	1.91700E-007
40	7	9	1	1.32000E-002	-3.00000E-004	-8.00000E-004	1.73000E-008	4.00000E-010	3.45400E-007	3.42860E+000	7.26222E+002	7.28086E+002	1.86310E+000	1.27103E-001	6.91800E-001	1.61500E-010	2.92700E-010	1.66100E-007
44	9	9	1	1.28000E-002	-3.00000E-004	-7.00000E-004	4.63000E-008	5.00000E-010	3.81800E-007	3.38050E+000	7.39215E+002	7.40769E+002	1.55370E+000	1.25901E-001	6.91600E-001	1.24100E-010	4.54200E-010	1.87400E-007
48	11	9	1	1.27000E-002	-3.00000E-004	-7.00000E-004	5.67000E-008	3.00000E-010	4.22500E-007	3.37800E+000	7.45755E+002	7.47759E+002	2.00440E+000	1.29354E-001	6.91800E-001	5.85000E-011	2.48200E-010	2.05000E-007
52	13	9	1	1.27000E-002	-3.00000E-004	-7.00000E-004	6.79000E-008	1.00000E-010	4.29200E-007	3.36560E+000	7.43587E+002	7.45923E+002	2.33550E+000	1.29477E-001	6.92500E-001	5.38000E-011	1.10000E-010	2.05200E-007
56	15	9	1	1.28000E-002	-3.00000E-004	-7.00000E-004	7.47000E-008	6.00000E-010	4.15400E-007	3.37900E+000	7.44433E+002	7.46525E+002	2.09190E+000	1.28927E-001	6.92100E-001	5.15000E-011	4.92000E-011	1.99800E-007
60	17	9	1	1.28000E-002	-3.00000E-004	-8.00000E-004	8.08000E-008	5.00000E-010	4.04700E-007	3.38360E+000	7.42136E+002	7.44507E+002	2.37040E+000	1.28575E-001	6.92000E-001	2.69200E-010	1.59200E-010	1.94000E-007
64	19	9	1	1.27000E-002	-2.00000E-004	-7.00000E-004	7.61000E-008	5.00000E-010	4.43500E-007	3.38730E+000	7.43920E+002	7.46128E+002	2.20820E+000	1.28961E-001	6.92200E-001	1.63900E-010	4.87000E-010	2.10700E-007
68	21	9	1	1.28000E-002	-2.00000E-004	-8.00000E-004	7.10000E-008	4.00000E-010	4.53700E-007	3.38640E+000	7.44328E+002	7.46791E+002	2.46300E+000	1.29657E-001	6.92200E-001	1.33500E-010	3.76900E-010	2.16400E-007
72	23	9	1	1.28000E-002	-3.00000E-004	-7.00000E-004	5.88000E-008	4.00000E-010	4.17400E-007	3.37020E+000	7.46572E+002	7.48910E+002	2.33770E+000	1.28489E-001	6.91800E-001	1.52200E-010	3.84000E-010	2.05900E-007
75	25	9	1	1.25000E-002	-4.00000E-004	-8.00000E-004	5.10000E-008	2.00000E-010	3.23200E-007	3.40010E+000	7.36619E+002	7.38370E+002	1.75190E+000	1.25420E-001	6.90900E-001	1.17000E-011	4.82300E-010	1.63300E-007
79	26	11	1	1.27000E-002	-3.00000E-004	-7.00000E-004	4.71000E-008	4.00000E-010	3.84800E-007	3.37310E+000	7.41051E+002	7.43048E+002	1.99700E+000	1.25727E-001	6.90800E-001	4.21000E-011	3.98000E-011	1.91200E-007
83	24	11	1	1.27000E-002	-3.00000E-004	-7.00000E-004	6.17000E-008	3.00000E-010	4.66300E-007	3.37780E+000	7.47914E+002	7.49697E+002	1.78270E+000	1.28422E-001	6.92400E-001	2.24800E-010	5.15000E-011	2.24000E-007
87	22	11	1	1.28000E-002	-3.00000E-004	-7.00000E-004	7.42000E-008	5.00000E-010	4.30000E-007	3.38960E+000	7.46799E+002	7.48964E+002	2.16560E+000	1.27791E-001	6.91800E-001	4.45000E-011	9.60000E-011	2.09800E-007
91	20	11	1	1.28000E-002	-2.00000E-004	-8.00000E-004	8.11000E-008	4.00000E-010	3.21100E-007	3.37370E+000	7.42378E+002	7.44614E+002	2.23650E+000	1.24841E-001	6.91600E-001	7.49000E-011	1.52200E-010	1.61500E-007
95	18	11	1	1.28000E-002	-2.00000E-004	-7.00000E-004	8.26000E-008	5.00000E-010	2.34100E-007	3.38210E+000	7.37821E+002	7.39909E+002	2.08820E+000	1.24098E-001	6.92700E-001	1.96700E-010	3.09000E-010	1.23100E-007
99	16	11	1	1.28000E-002	-3.00000E-004	-7.00000E-004	8.14000E-008	4.00000E-010	2.38400E-007	3.39060E+000	7.36602E+002	7.39022E+002	2.42040E+000	1.23653E-001	6.92400E-001	1.10000E-010	4.54200E-010	1.22500E-007
103	14	11	1	1.28000E-002	-2.00000E-004	-7.00000E-004	7.71000E-008	4.00000E-010	2.80300E-007	3.39400E+000	7.39131E+002	7.41168E+002	2.03730E+000	1.25961E-001	6.92300E-001	2.34000E-011	2.52900E-010	1.43100E-007
107	12	11	1	1.28000E-002	-2.00000E-004	-8.00000E-004	6.98000E-008	4.00000E-010	4.15300E-007	3.36850E+000	7.43125E+002	7.45422E+002	2.29730E+000	1.28008E-001	6.92400E-001	2.29400E-010	1.68600E-010	1.97800E-007
111	10	11	1	1.27000E-002	-3.00000E-004	-7.00000E-004	6.23000E-008	4.00000E-010	4.80700E-007	3.36050E+000	7.45595E+002	7.47766E+002	2.17170E+000	1.28188E-001	6.92700E-001	2.81000E-011	2.97300E-010	2.27200E-007
115	8	11	1	1.27000E-002	-3.00000E-004	-7.00000E-004	4.61000E-008	5.00000E-010	4.37400E-007	3.37070E+000	7.43498E+002	7.45088E+002	1.58980E+000	1.28734E-001	6.93300E-001	1.47500E-010	9.83000E-011	2.13500E-007
119	6	11	1	1.28000E-002	-3.00000E-004	-8.00000E-004	2.01000E-008	4.00000E-010	3.83800E-007	3.40370E+000	7.30576E+002	7.32027E+002	1.45050E+000	1.26194E-001	6.90900E-001	7.00000E-012	3.81600E-010	1.83700E-007
123	5	13	1	1.28000E-002	-3.00000E-004	-7.00000E-004	1.37000E-008	3.00000E-010	3.44400E-007	3.46280E+000	7.25429E+002	7.28045E+002	2.61580E+000	1.27715E-001	6.92400E-001	1.64000E-011	1.05400E-010	1.64200E-007
127	7	13	1	1.27000E-002	-3.00000E-004	-7.00000E-004	4.89000E-008	5.00000E-010	3.55900E-007	3.39040E+000	7.41170E+002	7.42783E+002	1.61290E+000	1.26217E-001	6.90800E-001	5.15000E-011	1.80300E-010	1.74200E-007
131	9	13	1	1.28000E-002	-2.00000E-004	-7.00000E-004	6.22000E-008	5.00000E-010	5.08500E-007	3.34720E+000	7.46171E+002	7.47629E+002	1.45820E+000	1.29591E-001	6.92500E-001	1.94300E-010	2.41200E-010	2.42400E-007
135	11	13	1	1.28000E-002	-2.00000E-004	-7.00000E-004	7.36000E-008	4.00000E-010	4.63900E-007	3.35980E+000	7.43830E+002	7.45193E+002	1.36240E+000	1.27654E-001	6.92400E-001	1.80300E-010	3.25400E-010	2.20500E-007
139	13	13	1	1.28000E-002	-3.00000E-004	-7.00000E-004	8.04000E-008	3.00000E-010	2.70700E-007	3.36880E+000	7.36500E+002	7.38467E+002	1.96690E+000	1.24626E-001	6.91900E-001	3.75000E-011	1.03000E-010	1.38500E-007
143	15	13	1	1.28000E-002	-2.00000E-004	-6.00000E-004	8.33000E-008	5.00000E-010	2.66800E-007	3.33540E+000	7.27292E+002	7.29200E+002	1.90860E+000	1.23524E-001	6.91800E-001	1.17000E-011	1.33500E-010	1.32800E-007
