Program name	H0206AD_E4_CP1.dll
Lot number	C127251.00-CPTSTE11-241023-003706@CP
Wafer number	03
Date	2024/10/23
Time	00:37:09

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH1	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
82	25	10	1	1.28000E-002	2.40000E-003	1.90000E-003	4.35000E-008	8.00000E-010	5.93300E-007	3.44920E+000	7.36173E+002	7.37705E+002	1.53190E+000	1.28583E-001	6.89500E-001	6.06500E-010	2.24800E-010	2.71500E-007
86	23	10	1	1.28000E-002	2.50000E-003	1.90000E-003	6.09000E-008	5.00000E-010	6.18700E-007	3.42510E+000	7.38565E+002	7.40363E+002	1.79840E+000	1.30390E-001	6.89300E-001	8.66500E-010	9.84000E-011	2.79200E-007
90	21	10	1	1.28000E-002	2.50000E-003	1.90000E-003	7.27000E-008	6.00000E-010	6.10200E-007	3.42930E+000	7.36661E+002	7.38047E+002	1.38590E+000	1.30018E-001	6.89800E-001	7.07200E-010	1.56900E-010	2.73100E-007
94	19	10	1	1.27000E-002	2.50000E-003	1.90000E-003	8.11000E-008	7.00000E-010	6.08900E-007	3.38410E+000	7.35883E+002	7.37360E+002	1.47750E+000	1.28859E-001	6.88900E-001	7.89200E-010	2.20100E-010	2.72500E-007
98	17	10	1	1.27000E-002	2.50000E-003	1.90000E-003	8.45000E-008	3.00000E-010	5.90800E-007	3.36460E+000	7.35144E+002	7.36606E+002	1.46170E+000	1.28136E-001	6.89100E-001	8.50100E-010	5.62000E-011	2.66400E-007
102	15	10	1	1.28000E-002	2.50000E-003	1.90000E-003	8.20000E-008	5.00000E-010	5.87200E-007	3.36430E+000	7.36643E+002	7.38684E+002	2.04170E+000	1.28821E-001	6.89000E-001	7.56400E-010	1.19400E-010	2.67200E-007
106	13	10	1	1.27000E-002	2.50000E-003	1.90000E-003	7.60000E-008	6.00000E-010	5.87200E-007	3.42190E+000	7.39722E+002	7.41789E+002	2.06710E+000	1.29501E-001	6.89500E-001	7.44700E-010	1.92000E-010	2.68400E-007
110	11	10	1	1.27000E-002	2.50000E-003	1.90000E-003	6.05000E-008	5.00000E-010	5.62700E-007	3.41940E+000	7.42134E+002	7.44037E+002	1.90320E+000	1.29725E-001	6.89900E-001	9.06300E-010	4.92000E-011	2.62000E-007
114	9	10	1	1.28000E-002	2.30000E-003	1.90000E-003	4.42000E-008	8.00000E-010	5.77600E-007	3.45100E+000	7.39492E+002	7.41357E+002	1.86510E+000	1.28925E-001	6.89800E-001	6.41700E-010	1.71000E-010	2.69200E-007
118	7	10	1	1.28000E-002	2.40000E-003	1.90000E-003	2.82000E-008	7.00000E-010	5.25000E-007	3.44630E+000	7.25719E+002	7.27128E+002	1.40900E+000	1.26655E-001	6.88200E-001	6.95500E-010	1.82700E-010	2.38400E-007
122	6	12	1	1.28000E-002	2.40000E-003	1.90000E-003	2.50000E-008	7.00000E-010	4.71500E-007	3.46610E+000	7.27601E+002	7.28930E+002	1.32890E+000	1.26076E-001	6.87900E-001	7.30700E-010	6.09000E-011	2.19600E-007
126	8	12	1	1.28000E-002	2.30000E-003	1.90000E-003	4.62000E-008	9.00000E-010	5.33800E-007	3.45310E+000	7.41909E+002	7.43284E+002	1.37490E+000	1.29089E-001	6.89200E-001	6.83800E-010	2.03700E-010	2.53100E-007
130	10	12	1	1.27000E-002	2.40000E-003	1.90000E-003	6.50000E-008	5.00000E-010	5.42800E-007	3.42630E+000	7.45033E+002	7.46873E+002	1.84000E+000	1.28896E-001	6.89600E-001	9.25000E-010	1.26500E-010	2.58000E-007
134	12	12	1	1.28000E-002	2.30000E-003	1.90000E-003	8.28000E-008	4.00000E-010	5.57200E-007	3.37210E+000	7.39688E+002	7.41540E+002	1.85160E+000	1.28597E-001	6.89100E-001	8.82900E-010	1.49900E-010	2.60000E-007
138	14	12	1	1.28000E-002	2.40000E-003	1.90000E-003	8.34000E-008	7.00000E-010	4.31800E-007	3.14260E+000	7.34646E+002	7.36536E+002	1.88970E+000	1.24258E-001	6.86000E-001	7.14300E-010	3.16200E-010	2.00900E-007
142	16	12	1	1.28000E-002	2.40000E-003	1.90000E-003	8.82000E-008	6.00000E-010	2.99600E-007	2.67560E+000	7.27774E+002	7.29341E+002	1.56660E+000	1.23293E-001	6.81700E-001	7.70500E-010	5.85000E-011	1.46600E-007
146	18	12	1	1.28000E-002	2.40000E-003	1.90000E-003	8.71000E-008	4.00000E-010	2.93800E-007	2.70250E+000	7.29477E+002	7.30987E+002	1.51020E+000	1.22473E-001	6.81500E-001	8.29000E-010	1.52200E-010	1.45900E-007
150	20	12	1	1.27000E-002	2.50000E-003	1.90000E-003	8.45000E-008	6.00000E-010	4.28600E-007	3.21120E+000	7.32895E+002	7.34273E+002	1.37850E+000	1.25542E-001	6.86600E-001	6.95500E-010	2.06100E-010	2.00000E-007
154	22	12	1	1.28000E-002	2.50000E-003	1.90000E-003	7.94000E-008	5.00000E-010	5.44100E-007	3.39610E+000	7.39968E+002	7.41438E+002	1.47010E+000	1.28958E-001	6.88900E-001	7.58800E-010	2.08400E-010	2.53000E-007
158	24	12	1	1.28000E-002	2.50000E-003	1.90000E-003	6.43000E-008	4.00000E-010	5.91700E-007	3.46140E+000	7.39855E+002	7.41271E+002	1.41600E+000	1.29856E-001	6.90000E-001	7.35300E-010	6.79000E-011	2.69600E-007
162	26	12	1	1.28000E-002	2.30000E-003	1.90000E-003	4.50000E-008	5.00000E-010	5.59800E-007	3.46670E+000	7.38817E+002	7.40445E+002	1.62820E+000	1.28883E-001	6.90000E-001	6.72100E-010	3.39600E-010	2.61200E-007
166	28	12	1	1.28000E-002	2.40000E-003	1.90000E-003	2.34000E-008	2.00000E-010	4.92400E-007	3.48170E+000	7.21335E+002	7.22993E+002	1.65740E+000	1.27314E-001	6.87900E-001	7.16600E-010	9.84000E-011	2.22100E-007
170	28	14	1	1.28000E-002	2.50000E-003	1.90000E-003	2.76000E-008	8.00000E-010	4.71800E-007	3.48040E+000	7.24037E+002	7.25461E+002	1.42420E+000	1.26137E-001	6.87400E-001	6.81500E-010	1.38200E-010	2.16600E-007
174	26	14	1	1.27000E-002	2.50000E-003	1.90000E-003	4.88000E-008	6.00000E-010	5.44000E-007	3.47290E+000	7.40736E+002	7.42361E+002	1.62480E+000	1.29294E-001	6.89600E-001	7.33000E-010	1.07700E-010	2.57100E-007
178	24	14	1	1.28000E-002	2.60000E-003	1.90000E-003	6.79000E-008	8.00000E-010	5.80300E-007	3.45040E+000	7.41430E+002	7.42899E+002	1.46830E+000	1.30398E-001	6.90000E-001	8.07900E-010	3.98000E-011	2.67200E-007
182	22	14	1	1.27000E-002	2.50000E-003	1.90000E-003	8.15000E-008	3.00000E-010	5.71000E-007	3.37250E+000	7.37691E+002	7.39075E+002	1.38440E+000	1.27904E-001	6.88800E-001	6.51000E-010	2.24800E-010	2.62200E-007
186	20	14	1	1.28000E-002	2.60000E-003	1.90000E-003	8.82000E-008	5.00000E-010	3.47500E-007	2.84320E+000	7.29901E+002	7.31446E+002	1.54490E+000	1.23125E-001	6.83300E-001	9.29700E-010	4.45000E-011	1.64100E-007
190	18	14	1	1.28000E-002	2.50000E-003	1.90000E-003	8.96000E-008	1.00000E-010	2.93600E-007	2.59300E+000	7.18986E+002	7.20607E+002	1.62030E+000	1.23161E-001	6.80400E-001	6.93200E-010	4.68000E-011	1.37500E-007
194	16	14	1	1.28000E-002	2.40000E-003	1.90000E-003	8.82000E-008	7.00000E-010	2.79200E-007	2.53920E+000	7.22616E+002	7.24459E+002	1.84300E+000	1.22202E-001	6.78800E-001	8.73500E-010	2.78700E-010	1.35900E-007
198	14	14	1	1.27000E-002	2.50000E-003	1.90000E-003	8.95000E-008	6.00000E-010	2.88300E-007	2.66670E+000	7.28289E+002	7.29779E+002	1.49000E+000	1.23063E-001	6.81300E-001	8.87600E-010	3.51000E-011	1.42900E-007
202	12	14	1	1.28000E-002	2.50000E-003	1.90000E-003	8.15000E-008	9.00000E-010	4.98200E-007	3.30870E+000	7.38218E+002	7.39561E+002	1.34330E+000	1.26702E-001	6.88000E-001	5.94800E-010	1.14800E-010	2.34600E-007
206	10	14	1	1.28000E-002	2.50000E-003	1.90000E-003	6.92000E-008	3.00000E-010	5.44000E-007	3.39770E+000	7.42176E+002	7.43710E+002	1.53400E+000	1.29316E-001	6.89400E-001	7.14300E-010	2.41200E-010	2.53600E-007
210	8	14	1	1.28000E-002	2.40000E-003	1.90000E-003	4.92000E-008	5.00000E-010	5.16400E-007	3.44390E+000	7.43215E+002	7.44712E+002	1.49700E+000	1.29483E-001	6.89400E-001	7.89200E-010	1.49900E-010	2.45100E-007
214	6	14	1	1.28000E-002	2.40000E-003	1.90000E-003	2.85000E-008	9.00000E-010	4.12100E-007	3.46120E+000	7.28837E+002	7.30219E+002	1.38250E+000	1.25160E-001	6.87800E-001	7.61100E-010	3.75000E-011	1.91000E-007
218	7	16	1	1.28000E-002	2.50000E-003	2.00000E-003	3.78000E-008	9.00000E-010	4.05100E-007	3.42920E+000	7.34759E+002	7.36431E+002	1.67240E+000	1.26259E-001	6.87400E-001	5.26900E-010	2.15500E-010	1.96400E-007
222	9	16	1	1.28000E-002	2.50000E-003	1.90000E-003	5.62000E-008	7.00000E-010	5.48700E-007	3.42330E+000	7.41106E+002	7.42451E+002	1.34510E+000	1.29775E-001	6.89800E-001	7.00200E-010	2.95100E-010	2.54000E-007
226	11	16	1	1.27000E-002	2.50000E-003	1.90000E-003	7.63000E-008	8.00000E-010	5.35600E-007	3.36800E+000	7.40797E+002	7.42279E+002	1.48190E+000	1.29072E-001	6.88900E-001	5.73800E-010	6.56000E-011	2.48900E-007
230	13	16	1	1.29000E-002	2.40000E-003	1.90000E-003	8.30000E-008	9.00000E-010	4.61600E-007	3.22520E+000	7.36250E+002	7.37607E+002	1.35730E+000	1.26154E-001	6.87000E-001	7.11900E-010	2.11000E-011	2.17200E-007
234	15	16	1	1.28000E-002	2.50000E-003	1.90000E-003	8.74000E-008	7.00000E-010	3.26900E-007	2.76870E+000	7.27357E+002	7.28950E+002	1.59280E+000	1.23168E-001	6.82800E-001	6.60400E-010	3.13800E-010	1.56100E-007
238	17	16	1	1.27000E-002	2.60000E-003	1.90000E-003	9.12000E-008	7.00000E-010	3.30900E-007	2.64490E+000	7.24488E+002	7.26071E+002	1.58260E+000	1.24265E-001	6.81000E-001	7.33000E-010	2.15500E-010	1.54600E-007
242	19	16	1	1.27000E-002	2.50000E-003	1.90000E-003	8.87000E-008	6.00000E-010	4.07500E-007	2.89620E+000	7.26213E+002	7.27840E+002	1.62750E+000	1.23605E-001	6.84100E-001	9.81200E-010	1.64000E-011	1.76500E-007
246	21	16	1	1.28000E-002	2.50000E-003	1.90000E-003	8.43000E-008	6.00000E-010	5.25900E-007	3.33380E+000	7.36114E+002	7.37841E+002	1.72750E+000	1.26853E-001	6.88900E-001	7.75200E-010	1.47500E-010	2.41900E-007
250	23	16	1	1.28000E-002	2.50000E-003	1.90000E-003	7.53000E-008	9.00000E-010	5.82400E-007	3.42230E+000	7.39148E+002	7.40564E+002	1.41680E+000	1.29507E-001	6.89900E-001	7.00200E-010	1.89700E-010	2.65700E-007
254	25	16	1	1.28000E-002	2.60000E-003	1.90000E-003	5.57000E-008	6.00000E-010	5.47900E-007	3.45710E+000	7.39868E+002	7.41294E+002	1.42570E+000	1.30244E-001	6.90700E-001	8.54800E-010	1.24100E-010	2.51900E-007
258	27	16	1	1.27000E-002	2.60000E-003	1.90000E-003	3.84000E-008	8.00000E-010	4.88200E-007	3.44940E+000	7.28554E+002	7.30311E+002	1.75760E+000	1.26030E-001	6.87500E-001	5.62000E-010	1.31100E-010	2.27800E-007
262	26	18	1	1.28000E-002	2.60000E-003	1.90000E-003	3.85000E-008	8.00000E-010	4.45500E-007	3.45680E+000	7.30017E+002	7.31787E+002	1.77020E+000	1.25452E-001	6.88200E-001	6.95500E-010	2.17800E-010	2.10800E-007
266	24	18	1	1.28000E-002	2.50000E-003	1.90000E-003	5.23000E-008	4.00000E-010	5.35900E-007	3.46250E+000	7.40797E+002	7.42720E+002	1.92260E+000	1.29589E-001	6.89900E-001	1.00230E-009	2.38900E-010	2.50300E-007
270	22	18	1	1.28000E-002	2.60000E-003	1.90000E-003	6.92000E-008	7.00000E-010	5.43400E-007	3.41300E+000	7.39633E+002	7.42125E+002	2.49180E+000	1.29398E-001	6.89600E-001	8.80500E-010	7.00000E-012	2.52700E-007
274	20	18	1	1.28000E-002	2.60000E-003	1.90000E-003	7.96000E-008	8.00000E-010	5.39100E-007	3.36330E+000	7.38417E+002	7.40044E+002	1.62720E+000	1.28602E-001	6.88800E-001	5.36300E-010	2.36500E-010	2.49500E-007
278	18	18	1	1.28000E-002	2.60000E-003	1.90000E-003	8.18000E-008	6.00000E-010	5.21300E-007	3.31890E+000	7.35243E+002	7.37570E+002	2.32760E+000	1.26798E-001	6.88600E-001	8.10300E-010	2.22500E-010	2.39200E-007
282	16	18	1	1.28000E-002	2.60000E-003	1.90000E-003	8.04000E-008	8.00000E-010	5.06300E-007	3.31160E+000	7.34994E+002	7.37143E+002	2.14940E+000	1.26939E-001	6.88400E-001	8.19700E-010	8.43000E-011	2.33900E-007
286	14	18	1	1.27000E-002	2.60000E-003	2.00000E-003	7.76000E-008	9.00000E-010	4.98600E-007	3.31370E+000	7.40513E+002	7.42226E+002	1.71250E+000	1.28155E-001	6.88100E-001	4.33200E-010	4.92000E-011	2.35200E-007
290	12	18	1	1.27000E-002	2.50000E-003	1.90000E-003	6.92000E-008	6.00000E-010	4.71600E-007	3.35970E+000	7.42476E+002	7.44356E+002	1.88060E+000	1.29040E-001	6.88200E-001	7.86900E-010	4.70000E-012	2.24600E-007
294	10	18	1	1.28000E-002	2.60000E-003	2.00000E-003	5.29000E-008	9.00000E-010	4.50100E-007	3.39770E+000	7.43688E+002	7.45368E+002	1.67980E+000	1.29027E-001	6.88400E-001	6.60400E-010	1.47500E-010	2.16700E-007
298	8	18	1	1.27000E-002	2.50000E-003	1.90000E-003	3.80000E-008	4.00000E-010	3.80200E-007	3.44960E+000	7.35849E+002	7.37367E+002	1.51870E+000	1.25630E-001	6.88600E-001	7.23600E-010	1.71000E-010	1.84500E-007
302	9	20	1	1.30000E-002	2.40000E-003	1.70000E-003	3.05000E-008	8.00000E-010	3.55900E-007	3.46660E+000	7.27832E+002	7.29763E+002	1.93100E+000	1.25066E-001	6.88600E-001	8.31400E-010	5.15000E-011	1.76500E-007
304	11	20	1	1.29000E-002	2.60000E-003	1.90000E-003	4.26000E-008	8.00000E-010	4.74800E-007	3.45120E+000	7.41782E+002	7.43329E+002	1.54780E+000	1.27949E-001	6.88500E-001	7.35300E-010	7.03000E-011	2.28400E-007
308	13	20	1	1.28000E-002	2.50000E-003	2.00000E-003	5.42000E-008	7.00000E-010	5.19600E-007	3.44620E+000	7.41125E+002	7.43152E+002	2.02690E+000	1.29266E-001	6.89900E-001	8.15000E-010	2.78700E-010	2.41900E-007
312	15	20	1	1.28000E-002	2.40000E-003	1.90000E-003	6.10000E-008	8.00000E-010	5.69100E-007	3.42720E+000	7.42084E+002	7.44193E+002	2.10960E+000	1.29674E-001	6.89600E-001	9.06300E-010	1.33500E-010	2.65800E-007
316	17	20	1	1.28000E-002	2.40000E-003	1.90000E-003	6.53000E-008	9.00000E-010	5.69000E-007	3.40620E+000	7.41374E+002	7.42844E+002	1.46950E+000	1.29069E-001	6.89400E-001	7.30700E-010	9.84000E-011	2.63700E-007
320	19	20	1	1.27000E-002	2.50000E-003	1.90000E-003	6.34000E-008	7.00000E-010	5.56900E-007	3.41800E+000	7.39073E+002	7.41375E+002	2.30190E+000	1.29738E-001	6.89100E-001	5.83100E-010	2.88000E-010	2.57900E-007
324	21	20	1	1.28000E-002	2.50000E-003	1.90000E-003	5.48000E-008	6.00000E-010	4.88400E-007	3.42760E+000	7.38695E+002	7.41052E+002	2.35700E+000	1.29394E-001	6.88800E-001	8.57100E-010	1.05400E-010	2.28100E-007
328	23	20	1	1.28000E-002	2.50000E-003	1.90000E-003	4.37000E-008	1.00000E-009	3.82900E-007	3.43240E+000	7.37166E+002	7.38530E+002	1.36370E+000	1.27276E-001	6.88300E-001	6.48700E-010	1.49900E-010	1.87300E-007
332	25	20	1	1.30000E-002	2.30000E-003	1.80000E-003	2.78000E-008	8.00000E-010	3.44600E-007	3.48870E+000	7.23531E+002	7.25355E+002	1.82440E+000	1.25256E-001	6.88700E-001	8.22000E-010	9.60000E-011	1.69800E-007
334	21	22	1	1.29000E-002	2.40000E-003	1.80000E-003	3.06000E-008	7.00000E-010	3.30900E-007	3.46950E+000	7.25240E+002	7.27379E+002	2.13870E+000	1.24778E-001	6.89000E-001	7.30700E-010	8.20000E-011	1.61800E-007
336	19	22	1	1.29000E-002	2.50000E-003	1.80000E-003	3.89000E-008	6.00000E-010	3.24800E-007	3.39700E+000	7.32544E+002	7.34145E+002	1.60130E+000	1.25357E-001	6.88600E-001	9.01600E-010	3.04000E-011	1.63800E-007
339	17	22	1	1.28000E-002	2.60000E-003	1.90000E-003	3.86000E-008	8.00000E-010	5.46400E-007	3.40350E+000	7.35264E+002	7.36741E+002	1.47680E+000	1.26621E-001	6.89500E-001	8.26700E-010	1.41000E-011	2.04800E-007
343	15	22	1	1.28000E-002	2.40000E-003	1.90000E-003	3.77000E-008	1.00000E-009	3.05500E-007	3.39860E+000	7.33632E+002	7.35058E+002	1.42640E+000	1.25180E-001	6.88700E-001	7.44700E-010	1.64000E-011	1.54000E-007
346	13	22	1	1.30000E-002	2.40000E-003	1.80000E-003	3.26000E-008	8.00000E-010	4.59600E-007	3.46100E+000	7.27403E+002	7.29429E+002	2.02660E+000	1.24665E-001	6.88800E-001	6.58100E-010	2.38900E-010	1.91600E-007

1	13	5	1	1.02000E-002	-4.00000E-004	-8.00000E-004	2.07000E-008	0.00000E+000	5.85300E-007	3.50280E+000	6.99754E+002	7.03277E+002	3.52290E+000	1.30339E-001	6.90700E-001	7.79600E-010	1.03020E-009	2.36700E-007
3	15	5	1	1.02000E-002	-4.00000E-004	-9.00000E-004	2.84000E-008	3.00000E-010	4.98900E-007	3.46950E+000	7.18617E+002	7.20588E+002	1.97040E+000	1.28173E-001	6.90000E-001	1.31100E-010	5.50200E-010	2.26400E-007
5	17	5	1	1.02000E-002	-4.00000E-004	-9.00000E-004	3.07000E-008	3.00000E-010	4.86800E-007	3.45970E+000	7.19547E+002	7.21681E+002	2.13380E+000	1.27468E-001	6.89400E-001	2.03700E-010	4.58900E-010	2.22500E-007
7	19	5	1	1.03000E-002	-4.00000E-004	-8.00000E-004	2.70000E-008	3.00000E-010	4.68700E-007	3.47590E+000	7.18679E+002	7.20772E+002	2.09270E+000	1.28258E-001	6.89700E-001	1.35800E-010	3.79300E-010	2.11800E-007
10	23	7	1	1.24000E-002	-4.00000E-004	-8.00000E-004	3.19000E-008	2.00000E-010	4.72600E-007	3.47580E+000	7.24952E+002	7.27158E+002	2.20620E+000	1.26295E-001	6.90300E-001	4.68000E-011	2.69200E-010	2.16700E-007
14	21	7	1	1.28000E-002	-3.00000E-004	-7.00000E-004	4.63000E-008	5.00000E-010	4.81100E-007	3.45150E+000	7.33445E+002	7.35444E+002	1.99900E+000	1.28299E-001	6.90900E-001	8.90000E-011	2.22400E-010	2.23900E-007
18	19	7	1	1.27000E-002	-3.00000E-004	-7.00000E-004	5.45000E-008	4.00000E-010	5.75600E-007	3.45340E+000	7.31131E+002	7.33722E+002	2.59110E+000	1.30481E-001	6.92200E-001	2.50500E-010	1.28800E-010	2.55700E-007
22	17	7	1	1.29000E-002	-2.00000E-004	-7.00000E-004	5.82000E-008	3.00000E-010	6.53700E-007	3.43980E+000	7.30779E+002	7.33131E+002	2.35170E+000	1.31159E-001	6.92100E-001	4.92000E-011	3.39500E-010	2.85800E-007
26	15	7	1	1.28000E-002	-3.00000E-004	-8.00000E-004	5.50000E-008	2.00000E-010	6.33000E-007	3.45500E+000	7.33156E+002	7.35282E+002	2.12640E+000	1.30925E-001	6.92000E-001	8.43000E-011	7.73000E-011	2.81900E-007
30	13	7	1	1.28000E-002	-3.00000E-004	-7.00000E-004	4.68000E-008	4.00000E-010	5.38900E-007	3.47260E+000	7.32658E+002	7.34854E+002	2.19660E+000	1.28587E-001	6.92000E-001	1.17100E-010	8.43000E-011	2.45900E-007
34	11	7	1	1.28000E-002	-2.00000E-004	-7.00000E-004	3.68000E-008	5.00000E-010	5.09500E-007	3.46840E+000	7.27431E+002	7.29153E+002	1.72180E+000	1.27029E-001	6.91700E-001	5.15000E-011	2.15400E-010	2.30600E-007
37	9	7	1	1.32000E-002	-3.00000E-004	-7.00000E-004	2.07000E-008	5.00000E-010	4.93600E-007	3.50610E+000	7.14378E+002	7.17010E+002	2.63110E+000	1.28456E-001	6.90700E-001	1.26400E-010	5.38500E-010	2.16600E-007
40	7	9	1	1.32000E-002	-3.00000E-004	-8.00000E-004	2.12000E-008	5.00000E-010	4.93400E-007	3.49440E+000	7.17487E+002	7.20463E+002	2.97680E+000	1.27857E-001	6.91500E-001	1.99000E-010	1.99000E-010	2.23100E-007
44	9	9	1	1.28000E-002	-2.00000E-004	-8.00000E-004	4.05000E-008	6.00000E-010	5.73700E-007	3.46290E+000	7.33617E+002	7.35146E+002	1.52940E+000	1.27149E-001	6.92400E-001	2.08400E-010	2.34100E-010	2.64100E-007
48	11	9	1	1.28000E-002	-3.00000E-004	-8.00000E-004	5.35000E-008	4.00000E-010	6.17700E-007	3.45000E+000	7.39271E+002	7.40822E+002	1.55070E+000	1.30211E-001	6.92600E-001	1.07700E-010	3.11400E-010	2.82300E-007
52	13	9	1	1.28000E-002	-3.00000E-004	-7.00000E-004	6.71000E-008	2.00000E-010	6.07300E-007	3.43170E+000	7.40022E+002	7.41687E+002	1.66520E+000	1.29980E-001	6.92400E-001	6.56000E-011	1.38100E-010	2.76300E-007
56	15	9	1	1.28000E-002	-3.00000E-004	-8.00000E-004	7.62000E-008	5.00000E-010	6.00400E-007	3.42740E+000	7.37843E+002	7.39819E+002	1.97580E+000	1.29703E-001	6.92400E-001	2.30000E-012	1.73300E-010	2.72700E-007
60	17	9	1	1.28000E-002	-3.00000E-004	-8.00000E-004	7.89000E-008	3.00000E-010	6.14200E-007	3.41180E+000	7.36148E+002	7.38609E+002	2.46130E+000	1.29633E-001	6.92100E-001	7.02000E-011	2.64600E-010	2.74700E-007
64	19	9	1	1.28000E-002	-2.00000E-004	-7.00000E-004	7.44000E-008	2.00000E-010	6.31800E-007	3.42170E+000	7.36829E+002	7.38655E+002	1.82570E+000	1.29844E-001	6.92200E-001	1.28800E-010	5.62000E-011	2.82600E-007
68	21	9	1	1.28000E-002	-3.00000E-004	-7.00000E-004	6.55000E-008	6.00000E-010	6.65600E-007	3.42160E+000	7.35916E+002	7.37652E+002	1.73610E+000	1.30804E-001	6.92100E-001	7.96000E-011	1.26400E-010	2.95500E-007
72	23	9	1	1.28000E-002	-3.00000E-004	-7.00000E-004	5.25000E-008	4.00000E-010	6.29500E-007	3.43020E+000	7.35661E+002	7.37912E+002	2.25030E+000	1.30395E-001	6.92400E-001	1.77900E-010	2.66900E-010	2.80700E-007
75	25	9	1	1.24000E-002	-3.00000E-004	-8.00000E-004	3.90000E-008	5.00000E-010	5.62400E-007	3.44480E+000	7.29912E+002	7.31502E+002	1.59020E+000	1.26647E-001	6.91600E-001	7.49000E-011	2.34100E-010	2.58800E-007
79	26	11	1	1.28000E-002	-3.00000E-004	-7.00000E-004	4.21000E-008	3.00000E-010	5.56400E-007	3.46230E+000	7.34617E+002	7.36472E+002	1.85520E+000	1.27140E-001	6.92200E-001	1.87300E-010	1.45200E-010	2.58700E-007
83	24	11	1	1.28000E-002	-3.00000E-004	-7.00000E-004	5.84000E-008	4.00000E-010	5.90700E-007	3.45120E+000	7.40242E+002	7.42061E+002	1.81860E+000	1.29375E-001	6.92000E-001	1.68600E-010	2.97300E-010	2.70200E-007
87	22	11	1	1.28000E-002	-3.00000E-004	-7.00000E-004	7.55000E-008	3.00000E-010	5.40900E-007	3.41830E+000	7.38735E+002	7.40553E+002	1.81790E+000	1.29057E-001	6.91300E-001	5.15000E-011	4.70000E-012	2.48100E-007
91	20	11	1	1.28000E-002	-3.00000E-004	-7.00000E-004	8.17000E-008	4.00000E-010	5.14500E-007	3.34790E+000	7.36832E+002	7.38415E+002	1.58360E+000	1.26766E-001	6.90600E-001	9.37000E-011	1.66200E-010	2.37400E-007
95	18	11	1	1.27000E-002	-3.00000E-004	-6.00000E-004	8.30000E-008	5.00000E-010	4.66500E-007	3.21220E+000	7.32055E+002	7.33948E+002	1.89260E+000	1.25084E-001	6.88900E-001	9.83000E-011	3.06700E-010	2.14600E-007
99	16	11	1	1.27000E-002	-2.00000E-004	-7.00000E-004	8.34000E-008	5.00000E-010	4.47200E-007	3.16580E+000	7.32833E+002	7.34654E+002	1.82110E+000	1.24816E-001	6.88900E-001	7.49000E-011	2.13100E-010	2.09000E-007
103	14	11	1	1.28000E-002	-3.00000E-004	-7.00000E-004	8.26000E-008	6.00000E-010	5.02300E-007	3.30280E+000	7.36503E+002	7.38021E+002	1.51840E+000	1.26537E-001	6.90400E-001	9.83000E-011	1.92000E-010	2.31400E-007
107	12	11	1	1.27000E-002	-2.00000E-004	-7.00000E-004	7.54000E-008	3.00000E-010	5.36700E-007	3.41020E+000	7.40769E+002	7.42767E+002	1.99750E+000	1.28258E-001	6.92100E-001	3.51000E-011	2.59900E-010	2.51300E-007
111	10	11	1	1.27000E-002	-3.00000E-004	-7.00000E-004	5.92000E-008	2.00000E-010	5.64200E-007	3.41940E+000	7.44788E+002	7.46518E+002	1.72930E+000	1.28767E-001	6.91800E-001	1.61500E-010	1.05400E-010	2.66200E-007
115	8	11	1	1.28000E-002	-3.00000E-004	-7.00000E-004	4.26000E-008	6.00000E-010	5.05300E-007	3.46380E+000	7.40243E+002	7.41569E+002	1.32560E+000	1.28276E-001	6.92700E-001	1.21700E-010	2.15400E-010	2.40600E-007
119	6	11	1	1.28000E-002	-3.00000E-004	-7.00000E-004	2.18000E-008	4.00000E-010	4.66900E-007	3.48180E+000	7.24487E+002	7.26187E+002	1.70000E+000	1.26693E-001	6.90900E-001	7.26000E-011	3.30100E-010	2.13900E-007
123	5	13	1	1.28000E-002	-2.00000E-004	-7.00000E-004	1.77000E-008	4.00000E-010	5.27000E-007	3.47220E+000	7.13665E+002	7.16833E+002	3.16760E+000	1.28647E-001	6.90900E-001	8.43000E-011	1.14700E-010	2.30100E-007
127	7	13	1	1.28000E-002	-3.00000E-004	-8.00000E-004	4.09000E-008	6.00000E-010	4.34900E-007	3.44380E+000	7.37058E+002	7.38740E+002	1.68130E+000	1.26723E-001	6.90300E-001	1.03000E-010	2.27100E-010	2.09600E-007
131	9	13	1	1.27000E-002	-3.00000E-004	-7.00000E-004	5.97000E-008	3.00000E-010	5.59500E-007	3.42200E+000	7.41963E+002	7.43777E+002	1.81330E+000	1.29966E-001	6.91900E-001	8.90000E-011	6.09000E-011	2.60100E-007
135	11	13	1	1.28000E-002	-3.00000E-004	-7.00000E-004	7.88000E-008	5.00000E-010	5.33000E-007	3.37480E+000	7.41178E+002	7.42639E+002	1.46020E+000	1.27753E-001	6.91300E-001	8.66000E-011	2.31800E-010	2.49400E-007
139	13	13	1	1.28000E-002	-2.00000E-004	-7.00000E-004	8.62000E-008	4.00000E-010	4.91600E-007	3.22340E+000	7.34232E+002	7.36390E+002	2.15750E+000	1.24733E-001	6.89400E-001	1.42800E-010	4.44800E-010	2.28500E-007
